word,mean_supportive_with_word,mean_supportive_without_word,difference,p_value,word_count
cut,0.1875,0.2172233000235239,-0.029723300023523913,0.9001344554601836,4
betrayal,0.18888888888888888,0.21864692236173197,-0.029758033472843087,0.7507009319653436,4
truth,0.19047619047619047,0.22025471877659214,-0.029778528300401674,0.869631487977427,4
missed,0.1875,0.21737057542853128,-0.029870575428531276,0.8996475454607531,4
read,0.19452495974235104,0.22466219623146808,-0.030137236489117036,0.6908037068541866,13
future,0.18318394404966842,0.21360232506630458,-0.03041838101663616,0.6734070610351754,15
properly,0.1875,0.2180679602273655,-0.030567960227365493,0.8973384706320822,2
shower,0.1875,0.2180679602273655,-0.030567960227365493,0.8973384706320822,2
loss,0.1875,0.2180679602273655,-0.030567960227365493,0.8973384706320822,2
secondhand,0.18697478991596633,0.21807867880050907,-0.03110388888454274,0.8068385076770055,2
build,0.18675020885547194,0.21907272692636273,-0.03232251807089079,0.7408591373318769,5
rough,0.1856060606060606,0.21878370687351645,-0.03317764626745584,0.8024951378840356,4
fuck,0.1856060606060606,0.21878370687351645,-0.03317764626745584,0.8024951378840356,4
conversation,0.18513521995720134,0.2183169800425836,-0.03318176008538226,0.5823049414863282,21
better,0.1925037578894087,0.22610110877978817,-0.03359735089037946,0.5263856187228595,21
home,0.18538961038961038,0.21951476871031833,-0.03412515832070795,0.7297887023168289,23
make,0.18787496648216964,0.22230301990389836,-0.03442805342172872,0.5769536756809659,36
quite,0.18410852713178294,0.21884610410161134,-0.034737576969828404,0.8451249027599298,4
distance,0.18315018315018314,0.21851762425599247,-0.03536744110580933,0.7684111695452817,3
position,0.18368467281510759,0.21961225601479972,-0.03592758319969214,0.6833549128269845,6
allowed,0.17857142857142855,0.21450483972458353,-0.03593341115315499,0.873868855103056,6
attempt,0.18253968253968253,0.21853650571817293,-0.0359968231784904,0.843426941910822,3
refused,0.18253968253968253,0.21853650571817293,-0.0359968231784904,0.843426941910822,3
consider,0.18253968253968247,0.21853650571817293,-0.035996823178490456,0.764448294834053,3
interested,0.18179271708683467,0.2185596077424878,-0.03676689065565314,0.722025271843902,3
isn,0.1839506172839506,0.22077037963435459,-0.03681976235040399,0.7646094777790805,9
language,0.17857142857142855,0.2161594290057734,-0.03758800043434485,0.8682103314557195,4
exactly,0.18166666666666667,0.21934028177840514,-0.03767361511173847,0.6394574069964252,5
years,0.17860923724881322,0.2164305102238609,-0.03782127297504767,0.5216697741154324,46
rarely,0.1778711484593837,0.21575048600941324,-0.037879337550029535,0.7526928404061698,5
overall,0.17995961635537605,0.21822184560786803,-0.03826222925249198,0.7798401984914599,2
dating,0.18393495269287424,0.22237081992860544,-0.0384358672357312,0.4772037928657542,10
response,0.17857142857142855,0.21706375166809927,-0.03849232309667072,0.8651301657544813,4
called,0.18156184761567742,0.22015835665561373,-0.038596509039936305,0.582352042463115,7
uses,0.17857142857142855,0.21825017597080576,-0.03967874739937721,0.8610911192245573,2
nearly,0.17857142857142855,0.21825017597080576,-0.03967874739937721,0.8610911192245573,2
dead,0.17857142857142855,0.21825017597080576,-0.03967874739937721,0.8610911192245573,2
classes,0.17857142857142855,0.21825017597080576,-0.03967874739937721,0.8610911192245573,2
gaming,0.17857142857142855,0.21825017597080576,-0.03967874739937721,0.8610911192245573,2
socialising,0.17857142857142855,0.21825017597080576,-0.03967874739937721,0.8610911192245573,2
frustration,0.17857142857142855,0.21825017597080576,-0.03967874739937721,0.8610911192245573,2
posted,0.17857142857142855,0.21825017597080576,-0.03967874739937721,0.8610911192245573,2
economy,0.17857142857142855,0.21825017597080576,-0.03967874739937721,0.8610911192245573,2
introduced,0.17857142857142855,0.21825017597080576,-0.03967874739937721,0.8610911192245573,2
paying,0.17857142857142855,0.21825017597080576,-0.03967874739937721,0.8610911192245573,2
popular,0.17857142857142855,0.21825017597080576,-0.03967874739937721,0.8610911192245573,2
beauty,0.17857142857142858,0.2186592352223457,-0.04008780665091713,0.7051924076776367,3
casual,0.17777777777777776,0.2182663729257782,-0.040488595148000434,0.2937218430376888,2
history,0.18050420168067222,0.22122893666233417,-0.04072473498166196,0.5992677390055614,7
check,0.17857142857142855,0.21960371879793641,-0.04103229022650787,0.8565085966308359,4
married,0.17857142857142855,0.21995614554595513,-0.041384716974526586,0.8553214731499801,10
close,0.18080808080808078,0.2224272730427265,-0.04161919223464572,0.7012899237129109,15
form,0.17646025472112425,0.21872452925895305,-0.0422642745378288,0.4815154171500475,3
told,0.175222816399287,0.21786500890194568,-0.04264219250265869,0.571015167006041,35
virtual,0.17777777777777776,0.22051654171882745,-0.042738763941049696,0.2712768464511386,4
knowing,0.1807029177718833,0.22344542138462414,-0.042742503612740845,0.7311209953087069,11
medical,0.1779891304347826,0.22078821106453606,-0.04279908062975346,0.729502514600725,10
calm,0.17521367521367517,0.2187630832643381,-0.04354940805066293,0.7014434997593006,3
worst,0.17554469228527952,0.21966249095637286,-0.04411779867109333,0.6511031761208751,5
stop,0.17473133484162892,0.21918441447040746,-0.044453079628778536,0.5445579059178748,12
appreciate,0.17308663068380378,0.21882886814670524,-0.04574223746290146,0.47322616189396977,3
fucked,0.17307692307692307,0.21930575427056384,-0.04622883119364077,0.7259468269538862,4
entire,0.17307692307692307,0.21930575427056387,-0.046228831193640796,0.725946826953886,4
dont,0.17738095238095233,0.22365518076306767,-0.04627422838211534,0.5025234821297291,15
