word,mean_supportive_with_word,mean_supportive_without_word,difference,p_value,word_count
looking,0.580952380952381,0.19753249233509132,0.3834198886172897,0.04127536362090038,10
otherwise,0.5833333333333333,0.2099897289348485,0.3733436043984848,0.5345531051647059,2
shock,0.5769230769230769,0.21012055049424147,0.3668025264288354,0.5449901943811365,2
financially,0.572463768115942,0.20647699791684532,0.3659867701990967,0.24981725099155713,3
gift,0.5641025641025641,0.20673559185540338,0.35736697224716074,0.2674041050248297,3
throughout,0.560064935064935,0.20318125377106336,0.3568836812938717,0.1011428381393809,4
apartment,0.5588235294117647,0.20689886096955185,0.3519246684422129,0.27883998302232227,3
father,0.5512820512820512,0.20408139529620484,0.3472006559858464,0.29244043816374593,5
meanwhile,0.5518518518518518,0.2071144798631574,0.3447373719886944,0.29431109797203653,3
seek,0.5451127819548872,0.20732290470533152,0.33778987724955567,0.28669755201179065,3
caused,0.5416666666666666,0.20394784828765786,0.33771881837900875,0.14307575428932015,4
push,0.5371024734982333,0.2109332158702587,0.32616925762797455,0.6090983718474319,2
30,0.5265151515151515,0.20701173313406704,0.3195034183810844,0.33677258822846884,7
struggled,0.5238095238095238,0.20822722736765747,0.31558229644186636,0.6273092601873435,4
next,0.5147058823529411,0.20140908436425034,0.3132967979886908,0.13421006081689124,11
using,0.5238095238095238,0.2112045005577834,0.31260502325174044,0.6300872307289169,2
struggling,0.5095238095238095,0.19891533036875286,0.3106084791550566,0.10806254837466511,7
whatever,0.5119047619047619,0.20518792765273722,0.3067168342520247,0.21290946822729853,4
small,0.5072779641892092,0.2044007557132879,0.30287720847592137,0.21246256802518662,10
sitting,0.5,0.20568395939876902,0.29431604060123095,0.41529257699903555,5
result,0.4970900809716599,0.2058052060249498,0.29128487494671007,0.19387780024242618,4
illness,0.5,0.20871814538434863,0.29128185461565137,5.033719129335125e-18,3
taken,0.5,0.20871814538434863,0.29128185461565137,0.4192937637689508,3
therapist,0.5,0.20871814538434869,0.2912818546156513,0.4192937637689508,3
showing,0.5,0.20871814538434869,0.2912818546156513,0.4192937637689508,3
act,0.5,0.2108922927321023,0.2891077072678977,0.42218908357365326,5
22,0.494969040247678,0.2058935827217824,0.2890754575258956,0.23279673754990582,4
watched,0.5,0.21149372032487207,0.28850627967512793,0.6667810274768726,4
member,0.5,0.21163163709210306,0.2883683629078969,1.1657134363746956e-17,4
halfway,0.5,0.21169040920695736,0.28830959079304264,0.6669700483266535,2
friendly,0.5,0.21169040920695736,0.28830959079304264,0.6669700483266535,2
ungrateful,0.5,0.21169040920695736,0.28830959079304264,0.6669700483266535,2
syndrome,0.5,0.21169040920695734,0.28830959079304264,6.106381239465807e-18,2
option,0.5,0.21169040920695734,0.28830959079304264,0.6669700483266535,2
theyve,0.5,0.21169040920695736,0.28830959079304264,0.6669700483266535,2
regular,0.5,0.21169040920695734,0.28830959079304264,0.6669700483266535,2
suicidal,0.5,0.21169040920695736,0.28830959079304264,6.106381239465894e-18,2
leveled,0.5,0.21169040920695736,0.28830959079304264,0.6669700483266535,2
